,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
156,movie,Diary of a Bad Lad,Diary of a Bad Lad,0,2010,\N,92,"Comedy,Crime"
157,movie,Mad World,Mad World,0,2010,\N,98,Drama
158,movie,The Passing,The Passing,0,2011,\N,92,Horror
159,movie,Clawed,Sludge,0,2017,\N,95,Horror
160,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,"Action,Adventure,Fantasy"
161,movie,Blunt Movie,Blunt Movie,0,2013,\N,83,"Comedy,Romance"
162,movie,Party Crashers,Os Penetras,0,2012,\N,88,Comedy
163,movie,42,42,0,2013,\N,128,"Biography,Drama,Sport"
164,movie,El hada buena - Una fábula peronista,El hada buena - Una fábula peronista,0,2010,\N,85,"Comedy,Drama,Sci-Fi"
165,movie,Life of Pi,Life of Pi,0,2012,\N,127,"Adventure,Drama,Fantasy"
166,movie,Being Flynn,Being Flynn,0,2012,\N,102,Drama
167,movie,The Crazies,The Crazies,0,2010,\N,101,"Horror,Thriller"
168,movie,The Equalizer,The Equalizer,0,2014,\N,132,"Action,Crime,Thriller"
169,movie,Memorias del desarrollo,Memorias del desarrollo,0,2010,\N,113,Drama
170,movie,Captain America: The First Avenger,Captain America: The First Avenger,0,2011,\N,124,"Action,Adventure,Sci-Fi"
171,movie,A Long Way Down,A Long Way Down,0,2014,\N,96,"Comedy,Drama"
172,movie,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,0,2014,\N,102,"Crime,Thriller"
173,movie,Generation P,Generation P,0,2011,\N,112,"Comedy,Drama,Sci-Fi"
174,video,One Step Beyond,One Step Beyond,0,2012,\N,56,Documentary
175,movie,Drunkboat,Drunkboat,0,2010,\N,98,Drama
176,movie,The Grasslands,The Grasslands,0,2011,\N,114,Drama
177,movie,The Only Living Boy in New York,The Only Living Boy in New York,0,2017,\N,89,Drama
178,movie,Texxas Jam '78,Texxas Jam '78,0,2012,\N,60,Documentary
179,short,Career Day,Career Day,0,2016,\N,8,"Comedy,Family,Short"
180,movie,Saving Private Perez,Salvando al Soldado Pérez,0,2011,\N,105,"Adventure,Comedy,Western"
181,movie,Steve Phoenix: The Untold Story,Steve Phoenix: The Untold Story,0,2012,\N,110,Drama
182,movie,High-Rise,High-Rise,0,2015,\N,119,Drama
183,movie,Satan Hates You,Satan Hates You,0,2010,\N,94,Horror
184,movie,Silent Alarm,Silent Alarm,0,2011,\N,82,"Comedy,Drama,Thriller"
185,movie,Federal,Federal,0,2010,\N,\N,"Drama,Thriller"
186,movie,The Devil You Know,The Devil You Know,0,2013,\N,76,"Mystery,Thriller"
187,movie,"Guns, Drugs and Dirty Money","Guns, Drugs and Dirty Money",0,2010,\N,123,"Action,Comedy,Crime"
188,movie,House at the End of the Drive,House at the End of the Drive,0,2014,\N,91,"Horror,Thriller"
189,movie,Piranha 3D,Piranha 3D,0,2010,\N,88,"Comedy,Horror,Thriller"
190,movie,Komaram Puli,Komaram Puli,0,2010,\N,163,"Action,Crime,Thriller"
191,movie,Act Your Age,Act Your Age,0,2011,\N,101,"Comedy,Drama"
192,movie,Taken by Force,Taken by Force,0,2010,\N,90,Action
